Organization,Raw Grade Code,Normalized Grade Family,Normalized Seniority Tier,International / National / Local,Staff / Consultant / Contractor / Other,Approximate UN Equivalent,Approximate Experience Range,Typical Role Scope,Supervisory Expectations,Notes / Caveats,Confidence Level,Evidence Type
United Nations University,G-3,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-3,3+ years,Administrative/operational support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
United Nations University,G-4,UN General Service,T2_JUNIOR_PROFESSIONAL,Local,Staff,G-4,4+ years,Experienced assistant / specialized support,Usually none,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
United Nations University,G-5,UN General Service,T2_JUNIOR_PROFESSIONAL,Local,Staff,G-5,5+ years,Senior assistant / para-professional support,May coordinate support tasks,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
United Nations University,G-6,UN General Service,T3_MID_PROFESSIONAL,Local,Staff,G-6,6+ years,Senior associate / complex support,May supervise support staff,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
United Nations University,G-7,UN General Service,T3_MID_PROFESSIONAL,Local,Staff,G-7,7+ years,Highest local GS specialist/support lead,Often supervises support functions,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
International Organization for Migration,P-1,UN International Professional,T1_ENTRY_SUPPORT,International,Staff,P-1,0-2 years,Entry professional analysis under close supervision,Normally none,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
International Organization for Migration,P-2,UN International Professional,T2_JUNIOR_PROFESSIONAL,International,Staff,P-2,2-4 years,Junior professional/officer; defined portfolio,Normally none; may coordinate vendors/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
International Organization for Migration,P-3,UN International Professional,T3_MID_PROFESSIONAL,International,Staff,P-3,5-7 years,Independent professional ownership of workstream or project,May supervise junior staff/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
International Organization for Migration,P-4,UN International Professional,T4_SENIOR_PROFESSIONAL,International,Staff,P-4,7-10 years,"Senior specialist; complex programme, policy or technical leadership",Often supervises staff/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
International Organization for Migration,P-5,UN International Professional,T5_PRINCIPAL_MANAGER,International,Staff,P-5,10-15 years,Chief/principal specialist/section head,Frequently supervises teams and budgets,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
International Organization for Migration,D-1,UN Director,T6_DIRECTOR,International,Staff,D-1,15+ years,Director of division/large programme,Senior management responsibility,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
International Organization for Migration,D-2,UN Director,T6_DIRECTOR,International,Staff,D-2,15-20+ years,Senior director / head of major office,Institutional management responsibility,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
International Organization for Migration,NO-A,UN National Professional,T1_ENTRY_SUPPORT,National / Local,Staff,~P-1/P-2,0-2 years,Entry national professional requiring local/national expertise,Normally none,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",MEDIUM,official common-system / inferred P-equivalence
International Organization for Migration,NO-B,UN National Professional,T2_JUNIOR_PROFESSIONAL,National / Local,Staff,~P-2,2-4 years,National officer / junior professional,May coordinate local partners,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",MEDIUM,official common-system / inferred P-equivalence
International Organization for Migration,NO-C,UN National Professional,T3_MID_PROFESSIONAL,National / Local,Staff,~P-3,5-7 years,Experienced national professional managing workstreams,May supervise assistants/consultants,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",MEDIUM,official common-system / inferred P-equivalence
International Organization for Migration,NO-D,UN National Professional,T4_SENIOR_PROFESSIONAL,National / Local,Staff,~P-4,7-10+ years,Senior national officer / technical lead,Often supervises staff/partners,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",MEDIUM,official common-system / inferred P-equivalence
International Organization for Migration,G-1,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-1,0+ years,Routine support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
International Organization for Migration,G-2,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-2,2+ years,Basic clerical/operational support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
International Organization for Migration,G-3,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-3,3+ years,Administrative/operational support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
